ID,Titolo,Generi,Punteggio Medio,Rank,Popolarità,Stato,Autori
14531,GTO: Shonan 14 Days,"Action, Comedy, Delinquents, Drama, Ecchi, Shounen",8.22,416,775,finished,Tooru Fujisawa
16593,Private Opinion: Banana Fish Another Story,"Action, Drama, Shoujo",8.22,417,4602,finished,Akimi Yoshida
17552,Non Non Biyori,"CGDCT, Iyashikei, School, Seinen, Slice of Life",8.22,418,1685,finished, Atto
107548,Steins;Gate 0,"Drama, Mystery, Sci-Fi, Seinen",8.22,419,3483,finished,Taka Himeno
110031,Summertime Render,"Mystery, Shounen, Supernatural, Suspense, Time Travel",8.22,420,313,finished,Yasuki Tanaka
112318,Jigokuraku,"Action, Fantasy, Historical, Shounen",8.22,421,60,finished,Yuuji Kaku
348,Genshiken,"Comedy, Drama, Otaku Culture, School, Seinen, Slice of Life",8.21,427,440,finished,Shimoku Kio
510,Saiyuuki Reload,"Action, Adventure, Comedy, Drama, Fantasy, Josei",8.21,428,2579,finished,Kazuya Minekura
585,Hourou Musuko,"Drama, Romance, School, Seinen",8.21,429,629,finished,Takako Shimura
731,Eden: It's an Endless World!,"Action, Drama, Gore, Psychological, Sci-Fi, Seinen, Suspense",8.21,430,264,finished,Hiroki Endo
1208,Silver Diamond,"Adventure, Boys Love, Fantasy, Isekai, Shoujo",8.21,431,2372,finished,Shiho Sugiura
1461,Sanctuary,"Detective, Drama, Organized Crime, Seinen, Suspense",8.21,432,525,finished,"Ryouichi Ikegami,  Buronson"
1802,Cat Street,"Drama, Love Polygon, Romance, Shoujo, Showbiz",8.21,433,547,finished,Yoko Kamio
3731,Solanin,"Drama, Seinen, Slice of Life",8.21,434,104,finished,Inio Asano
18074,Getter Robo Saga,"Action, Mecha, Shounen",8.21,435,7423,finished,Ken Ishikawa
58027,Tsurezure Children,"Comedy, Romance, School, Shounen",8.21,436,290,finished,Toshiya Wakabayashi
132962,Boku ga Otto ni Deau made,"Boys Love, Drama, Memoir",8.21,437,2745,finished,"Yoshi Tsukizuki, Ryousuke Nanasaki"
103063,"Tadaima, Okaeri","Boys Love, Childcare, Slice of Life",8.21,441,3031,currently_publishing,Ichi Ichikawa
103897,Dr. Stone,"Adventure, Award Winning, Sci-Fi, Shounen, Survival, Suspense",8.2,444,39,finished,"Riichiro Inagaki,  Boichi"
106204,Majo to Yajuu,"Action, Adult Cast, Fantasy, Seinen",8.2,445,943,on_hiatus,Kousuke Satake
108566,Machikado Mazoku,"Comedy, Mahou Shoujo, Slice of Life",8.2,446,2047,currently_publishing,Izumo Ito
24705,Aku no Hana,"Drama, Psychological, Romance, School, Shounen",8.2,447,66,finished,Shuuzou Oshimi
26736,Taiyou no Ie,"Award Winning, Drama, Romance, Shoujo",8.2,448,161,finished, Taamo
140409,Yoake no Uta,"Boys Love, Fantasy",8.2,450,4954,currently_publishing,Ichika Yuno
